Probe_Set_ID,Gene_Symbol
3913_s_at,YAR010C 
3914_s_at,YBL005W-B 
3915_s_at,YAR009C 
3916_s_at,YAR009C 
3917_f_at,YAR009C
3918_f_at,YAR009C 
3919_f_at,YAR009C
3920_f_at,YAR009C 
3921_s_at,YAR010C 
3922_f_at,YAR010C 
3925_f_at,YGR109W-B
3926_f_at,YAR010C 
3927_f_at,YAR010C 
3941_at,KCC4
3948_s_at,PTK1
3968_s_at,BI2 
3970_s_at,BI3 
3972_s_at,BI4 
3996_s_at,AI1 
4001_at,AI4 
4062_at,YVH1
4069_at,MGA2
4112_at,PDR11
4151_at,YIL067C
4178_at,AVT7
4184_s_at,YGR109W-B
4225_at,FKH1
4236_at,QDR1
4254_at,SLN1
4280_f_at,PAU1 
4291_i_at,RVB2 
4317_at,MNL1
4324_s_at,YBL111C 
4339_at,OYE2
4403_at,ERP5
4413_at,MSH1
4427_at,MSR1
4428_at,HXT4
4432_at,HXT5
4446_at,RRP3
4464_at,KSP1
4471_at,NCP1
4485_at,CPR2
4486_at,MED6
4496_at,YHR022C
4506_at,ERC1
4512_at,RRF1
4513_at,MSC7
4517_at,OSH7
4530_at,DIA4
4531_at,VPS29
4535_at,YSC84
4563_f_at,PAU13
4568_at,ARN1
4569_at,EFM1
4723_f_at,PAU10 
4731_at,COQ6
4743_at,FOL2
4773_at,PUP2
4782_at,GPI1
4809_at,PMT6
4823_at,YGR168C
4840_at,TYS1
4869_at,ASN2
4870_at,YGR125W
4918_at,TOM20
4919_at,GCD2
4936_at,MUP1
4949_at,ART5
4951_at,ROM1
4958_at,IMO32
4978_at,FMP48
4983_g_at,NMA2
5005_at,ERG4
5006_at,SCL1
5011_at,PMC1
5015_at,ERP6
5036_at,TRP5
5042_at,GET1
5046_at,KAP122
5054_at,PRM8
5093_at,VPS73
5099_at,USE1
5104_at,SPC105
5118_at,MON1
5149_at,YGL140C
5164_at,ROK1
5168_at,PMR1
5175_at,AIM14
5189_at,CDC55
5200_at,ATG1
5205_at,SAE2
5210_at,CLG1
5212_at,SKI8
5220_at,POX1
5227_at,YIP4
5230_at,CSE1
5251_f_at,PAU10 
5253_g_at,YPS5 
5260_at,HXK2
5272_at,KAP114
5307_at,HXK1
5344_at,NIC96
5360_at,YFR018C
5363_at,ATG18
5381_at,BLM10
5385_at,MSH4
5391_at,YFL040W
5420_s_at,YER190C-B 
5422_s_at,YFL067W
5426_at,YFL054C
5430_at,ALR2
5432_at,EMP47
5527_at,DMC1
5548_at,OXA1
5559_at,DNF1
5580_at,EMP65
5595_at,KAP123
5603_at,AVT6
5638_g_at,CDC4 
5669_g_at,FCY2 
5676_at,FCY22
5677_at,CEM1
5705_at,NUG1
5708_at,SEC3
5712_at,PRE1
5734_at,VAC8
5740_at,YEA6
5751_at,CYC7
5761_at,BUD16
5763_at,VMA3
5770_at,AVT2
5921_at,SNA2
5977_at,GNP1
6105_at,SEM1
6117_at,GPI8
6121_at,MSN5
6124_at,YDR338C
6128_f_at,HXT7
6129_f_at,HXT6
6131_at,HXT3
6135_at,YPS7
6167_at,SSD1
6178_at,CPR5
6183_at,YDR306C
6188_at,MSW1
6236_i_at,HTA1 
6245_at,LYS4
6284_at,CDC1
6300_g_at,CPR1
6301_at,CPR1
6320_at,HMO1
6345_at,CPR1
6354_at,VBA4
6366_at,YDR131C
6372_at,DNF2
6373_g_at,DNF2
6419_at,TPI1
6423_at,CDC34
6448_at,LYS14
6454_g_at,ENA1 
6455_s_at,ENA1 
6489_at,ERP3
6503_at,ATP16
6512_at,NAT1
6519_at,SLM3
6540_at,USO1
6544_at,MCH1
6553_at,ASM4
6572_at,YET3
6615_at,NUP84
6621_at,MSH5
6633_at,CRD1
6661_at,STE7
6665_at,GGC1
6707_at,TRM8
6709_i_at,MPH2
6718_at,YPD1
6761_at,ATG15
6787_at,MSH3
6798_f_at,PAU3
6803_at,YCR061W
6807_at,RAD18
6809_at,ATG15
6810_g_at,ATG15
6814_at,SSK22
