Identify_A,Identify_B
uniprotkb:P40433,uniprotkb:P17121
uniprotkb:P40433,uniprotkb:P53969
uniprotkb:P40433,uniprotkb:P39955
uniprotkb:P40433,uniprotkb:P38814
uniprotkb:P40433,uniprotkb:P48415
uniprotkb:P40433,uniprotkb:P30619
uniprotkb:P40433,uniprotkb:P34228
uniprotkb:P40433,uniprotkb:Q04279
uniprotkb:P40433,uniprotkb:P34250
uniprotkb:P40433,uniprotkb:Q06058
uniprotkb:P40433,uniprotkb:P20134
uniprotkb:P40433,uniprotkb:P38200
uniprotkb:P40433,uniprotkb:P11978
uniprotkb:P40433,uniprotkb:P25294
uniprotkb:P40433,uniprotkb:P34226
uniprotkb:P40433,uniprotkb:P32790
uniprotkb:P40433,uniprotkb:Q12098
uniprotkb:P40433,uniprotkb:Q04007
uniprotkb:P40433,uniprotkb:P06782
uniprotkb:P40433,uniprotkb:P25357
uniprotkb:P40433,uniprotkb:P40317
uniprotkb:P40433,uniprotkb:P32380
uniprotkb:P40433,uniprotkb:P33419
uniprotkb:P40433,uniprotkb:Q03868
uniprotkb:P40433,uniprotkb:P23615
uniprotkb:P40433,uniprotkb:P36167
uniprotkb:P40433,uniprotkb:P11484
uniprotkb:P40433,uniprotkb:P40150
uniprotkb:P40433,uniprotkb:P24276
uniprotkb:P40433,uniprotkb:P46679
uniprotkb:P40433,uniprotkb:P36085
uniprotkb:P40433,uniprotkb:P38198
uniprotkb:P40433,uniprotkb:P53598
uniprotkb:P40433,uniprotkb:Q03088
uniprotkb:P40433,uniprotkb:P43554
uniprotkb:P40433,uniprotkb:Q06836
uniprotkb:P40433,uniprotkb:P48606
uniprotkb:P40433,uniprotkb:P40328
uniprotkb:P40433,uniprotkb:Q08921
uniprotkb:P40433,uniprotkb:P40045
uniprotkb:P40433,uniprotkb:P36165
uniprotkb:P40433,uniprotkb:P34219
uniprotkb:P40433,uniprotkb:P32356
uniprotkb:P40433,uniprotkb:P35172
uniprotkb:P40433,uniprotkb:P34760
uniprotkb:P40433,uniprotkb:P39538
uniprotkb:P40433,uniprotkb:P39001
uniprotkb:P40433,uniprotkb:Q02354
uniprotkb:P40433,uniprotkb:P25591
uniprotkb:P40433,uniprotkb:P40463
uniprotkb:P40433,uniprotkb:P34761
uniprotkb:P40433,uniprotkb:Q07655
uniprotkb:P40433,uniprotkb:P40489
uniprotkb:P40433,uniprotkb:P14680
uniprotkb:P40433,uniprotkb:Q3E7Y5
uniprotkb:P40433,uniprotkb:P38321
uniprotkb:P40433,uniprotkb:Q05497
uniprotkb:P40433,uniprotkb:P34225
uniprotkb:P40433,uniprotkb:P50089
uniprotkb:P40433,uniprotkb:P38899
uniprotkb:P40433,uniprotkb:P38750
uniprotkb:P40433,uniprotkb:P38809
uniprotkb:P40433,uniprotkb:P40497
uniprotkb:P40433,uniprotkb:Q07895
uniprotkb:P40433,uniprotkb:Q99296
uniprotkb:P40433,uniprotkb:P54072
uniprotkb:P40433,uniprotkb:Q06251
uniprotkb:P40433,uniprotkb:P39523
uniprotkb:P40433,uniprotkb:P53719
uniprotkb:P40433,uniprotkb:P53757
uniprotkb:P40433,uniprotkb:Q12040
uniprotkb:P40433,uniprotkb:P34161
uniprotkb:P40433,uniprotkb:Q12531
uniprotkb:P40433,uniprotkb:Q12152
uniprotkb:P40433,uniprotkb:Q12523
uniprotkb:P40433,uniprotkb:P32793
uniprotkb:P40433,uniprotkb:Q06224
uniprotkb:P40433,uniprotkb:Q06681
uniprotkb:P40433,uniprotkb:P47043
uniprotkb:P40433,uniprotkb:P50111
uniprotkb:P38307,uniprotkb:P38307
uniprotkb:P38307,uniprotkb:Q05787
uniprotkb:P38307,uniprotkb:Q08109
uniprotkb:P38307,uniprotkb:P25694
uniprotkb:P38307,uniprotkb:Q03714
uniprotkb:P38307,uniprotkb:Q04228
uniprotkb:P38307,uniprotkb:Q99220
uniprotkb:P38307,uniprotkb:P33755
uniprotkb:P38307,uniprotkb:P53044
uniprotkb:Q12743,uniprotkb:Q12743
uniprotkb:Q12743,uniprotkb:Q04228
uniprotkb:Q12743,uniprotkb:P33755
uniprotkb:Q12743,uniprotkb:P16474
uniprotkb:Q12743,uniprotkb:Q08109
uniprotkb:Q12743,uniprotkb:Q99220
uniprotkb:Q12743,uniprotkb:Q03714
uniprotkb:Q12743,uniprotkb:P34223
uniprotkb:Q12743,uniprotkb:P25694
uniprotkb:Q12743,uniprotkb:Q05787
uniprotkb:Q12743,uniprotkb:P38349
uniprotkb:P53044,uniprotkb:Q12743
uniprotkb:Q12743,uniprotkb:P34223
uniprotkb:P53044,uniprotkb:P38307
uniprotkb:Q12743,uniprotkb:P38349
uniprotkb:P52490,uniprotkb:P40210
uniprotkb:P40210,uniprotkb:P53152
uniprotkb:P40343,uniprotkb:P38753
uniprotkb:P40348,uniprotkb:P38629
uniprotkb:Q06679,uniprotkb:P40362
uniprotkb:P40363,uniprotkb:P40363
uniprotkb:P14907,uniprotkb:P40368
uniprotkb:P35729,uniprotkb:P40368
uniprotkb:P40368,uniprotkb:P40368
uniprotkb:P40368,uniprotkb:Q02630
uniprotkb:P40414,uniprotkb:P40414
uniprotkb:P40433,uniprotkb:Q08748
uniprotkb:P40463,uniprotkb:P26570
uniprotkb:P40463,uniprotkb:P36076
uniprotkb:P40469,uniprotkb:P38829
uniprotkb:P19807,uniprotkb:P40474
uniprotkb:P32465,uniprotkb:P40474
uniprotkb:P40474,uniprotkb:P32568
uniprotkb:P40474,uniprotkb:P33302
uniprotkb:P35735,uniprotkb:P40474
uniprotkb:P36027,uniprotkb:P40474
uniprotkb:P40474,uniprotkb:P38234
uniprotkb:P40474,uniprotkb:P40474
uniprotkb:P50276,uniprotkb:P40474
uniprotkb:P40474,uniprotkb:Q02785
uniprotkb:P40474,uniprotkb:Q03640
uniprotkb:Q06689,uniprotkb:P40474
uniprotkb:P40474,uniprotkb:Q07824
uniprotkb:P40474,uniprotkb:Q3E756
uniprotkb:P40477,uniprotkb:P40064
uniprotkb:P40368,uniprotkb:P40477
uniprotkb:P40477,uniprotkb:Q02630
uniprotkb:P38810,uniprotkb:P40482
uniprotkb:Q04410,uniprotkb:P40482
uniprotkb:P40485,uniprotkb:P10823
uniprotkb:P19807,uniprotkb:P40485
uniprotkb:P33413,uniprotkb:P40485
uniprotkb:P35735,uniprotkb:P40485
uniprotkb:P36027,uniprotkb:P40485
uniprotkb:P40485,uniprotkb:P38234
uniprotkb:P40485,uniprotkb:P40485
uniprotkb:P50276,uniprotkb:P40485
uniprotkb:P53278,uniprotkb:P40485
uniprotkb:P53283,uniprotkb:P40485
uniprotkb:P40485,uniprotkb:Q02785
uniprotkb:Q07651,uniprotkb:P40485
uniprotkb:P40485,uniprotkb:Q12335
uniprotkb:P38328,uniprotkb:P40494
uniprotkb:Q04217,uniprotkb:P40504
uniprotkb:P40513,uniprotkb:P19807
uniprotkb:P35735,uniprotkb:P40513
uniprotkb:P36027,uniprotkb:P40513
uniprotkb:P40513,uniprotkb:P38234
uniprotkb:P40485,uniprotkb:P40513
uniprotkb:Q12335,uniprotkb:P40513
uniprotkb:P38310,uniprotkb:P40528
uniprotkb:P40528,uniprotkb:P40528
uniprotkb:P40529,uniprotkb:P22137
uniprotkb:P15496,uniprotkb:P40535
uniprotkb:P08518,uniprotkb:P40540
uniprotkb:P0CY06,uniprotkb:P40540
uniprotkb:P10614,uniprotkb:P40540
uniprotkb:P14359,uniprotkb:P40540
uniprotkb:P40540,uniprotkb:P38264
uniprotkb:P40540,uniprotkb:P38782
uniprotkb:P38902,uniprotkb:P40540
uniprotkb:P39543,uniprotkb:P40540
uniprotkb:P40540,uniprotkb:P40540
uniprotkb:P47006,uniprotkb:P40540
uniprotkb:Q02785,uniprotkb:P40540
uniprotkb:P40540,uniprotkb:Q02866
uniprotkb:P40540,uniprotkb:Q03860
uniprotkb:P40540,uniprotkb:Q04377
uniprotkb:P40540,uniprotkb:Q05359
uniprotkb:P40540,uniprotkb:Q06144
uniprotkb:Q06408,uniprotkb:P40540
uniprotkb:Q99278,uniprotkb:P40540
uniprotkb:Q3E806,uniprotkb:P40559
uniprotkb:P25567,uniprotkb:P40561
uniprotkb:P32588,uniprotkb:P40561
uniprotkb:P53316,uniprotkb:P40561
uniprotkb:P40016,uniprotkb:P40577
uniprotkb:P40581,uniprotkb:P0C268
uniprotkb:P40581,uniprotkb:P10614
uniprotkb:P38009,uniprotkb:P40581
uniprotkb:P38234,uniprotkb:P40581
uniprotkb:P54783,uniprotkb:P40581
uniprotkb:P40581,uniprotkb:Q02785
uniprotkb:P40581,uniprotkb:Q06451
uniprotkb:Q12462,uniprotkb:P40581
uniprotkb:Q3E756,uniprotkb:P40581
uniprotkb:P40582,uniprotkb:P0C268
uniprotkb:P40582,uniprotkb:P14359
uniprotkb:P32465,uniprotkb:P40582
uniprotkb:P38756,uniprotkb:P40582
uniprotkb:P54783,uniprotkb:P40582
uniprotkb:P54837,uniprotkb:P40582
uniprotkb:Q05359,uniprotkb:P40582
uniprotkb:Q12270,uniprotkb:P40582
uniprotkb:Q12462,uniprotkb:P40582
uniprotkb:P21304,uniprotkb:P40693
uniprotkb:P40693,uniprotkb:P53874
uniprotkb:P40958,uniprotkb:Q02785
uniprotkb:P40958,uniprotkb:Q8TGU5
uniprotkb:P40961,uniprotkb:Q08979
uniprotkb:P0CX10,uniprotkb:P40993
uniprotkb:P40993,uniprotkb:Q07843
uniprotkb:P10127,uniprotkb:P40994
uniprotkb:Q12462,uniprotkb:P40994
uniprotkb:P41697,uniprotkb:P41697
uniprotkb:P10614,uniprotkb:P41806
uniprotkb:P32366,uniprotkb:P41806
uniprotkb:P41806,uniprotkb:P32563
uniprotkb:P41806,uniprotkb:P32610
uniprotkb:P41806,uniprotkb:P39111
uniprotkb:P41807,uniprotkb:P41806
uniprotkb:P41806,uniprotkb:P53262
uniprotkb:P41806,uniprotkb:P54837
uniprotkb:P32563,uniprotkb:P41807
uniprotkb:P41807,uniprotkb:P38310
uniprotkb:P39111,uniprotkb:P41807
uniprotkb:P41807,uniprotkb:P41807
uniprotkb:P53262,uniprotkb:P41807
uniprotkb:P41809,uniprotkb:Q04048
uniprotkb:P40210,uniprotkb:P41896
uniprotkb:P41896,uniprotkb:P52490
uniprotkb:P35208,uniprotkb:P41912
uniprotkb:P41921,uniprotkb:P31412
uniprotkb:P41921,uniprotkb:P41921
uniprotkb:P25567,uniprotkb:P41940
uniprotkb:P41940,uniprotkb:P32324
uniprotkb:P41940,uniprotkb:P38636
uniprotkb:P41940,uniprotkb:P41810
uniprotkb:P53278,uniprotkb:P41940
uniprotkb:P53338,uniprotkb:P41940
uniprotkb:P41940,uniprotkb:Q10740
uniprotkb:P42838,uniprotkb:P11076
uniprotkb:P42838,uniprotkb:P32660
uniprotkb:P42842,uniprotkb:P32324
uniprotkb:P32324,uniprotkb:P42842
uniprotkb:P42935,uniprotkb:Q02884
uniprotkb:Q3E840,uniprotkb:P42935
uniprotkb:P42945,uniprotkb:Q06679
uniprotkb:P54783,uniprotkb:P43497
uniprotkb:P10614,uniprotkb:P43542
uniprotkb:P43542,uniprotkb:P25361
