Identify_A,Identify_B
P36027,P53390
P38234,P53390
P53390,P38695
P40260,P53390
P50276,P53390
P53390,P53049
P53390,P53390
P53390,Q02785
Q03640,P53390
Q06689,P53390
P53390,Q07651
Q07824,P53390
P53390,Q08967
P53438,P07278
P53550,P25644
P53550,P30771
P35732,P53550
P53550,P39517
P53550,P39998
P40023,P53550
P53550,P40070
P53550,P45978
P53550,P53550
P53829,P53550
P57743,P53550
Q07084,P53599
P11076,P53600
P32074,P53600
P38084,P53600
P53600,P41810
P41811,P53600
P43621,P53600
Q12270,P53600
P35732,P53691
P53691,P53297
P53691,P53316
P53730,P16474
P33204,P53731
P53731,P37370
P38328,P53731
P53731,Q05933
P53731,Q12446
P32495,P53734
P53741,P06634
P25567,P53741
P53235,P53741
P53741,P53741
P53849,P53741
P53742,Q12522
P53819,P32445
P38235,P53819
P38264,P53822
P53829,P06102
P25655,P53829
P53829,P34909
P53829,P35732
P53829,P39008
P53829,P40070
P53829,P53829
P53829,P53935
P53829,Q12514
P53832,P19807
P53832,P36027
P53832,P38234
P53832,P39719
P53832,P50276
P53139,P53832
P53832,P53832
P53832,Q02785
Q03640,P53832
Q07651,P53832
Q12335,P53832
P35732,P53834
P38009,P53834
P53839,P41811
P53843,P53843
P69771,P53843
Q06263,P53843
P24783,P53849
P53849,P24784
P53849,P25567
P38009,P53849
P38998,P53849
P53849,P40070
P53235,P53849
P53849,P53741
P53849,P53849
P53852,P53852
P53872,P53262
Q06144,P53872
Q07500,P53873
P53874,P53874
P38996,P53877
P40350,P53877
P53879,P38634
P53890,P53890
P0CX10,P53924
P38779,P53927
P06102,P53935
P53935,P25655
P53935,P34909
P53935,P39008
P53935,P53829
P53959,P40094
P38328,P53974
P54113,P23542
P32610,P54113
P38009,P54113
P54113,P54113
Q00816,P54113
P54781,P08964
P54781,P10614
P20434,P54781
P54781,P21147
P54837,P54781
Q05359,P54781
Q12226,P54781
P0C268,P54783
P11076,P54783
P54783,P18411
P54783,P22289
P35180,P54783
P54783,P35844
P38009,P54783
P38295,P54783
P38756,P54783
P54783,P40582
P54783,P43497
P54783,P53206
P54783,P54783
P54783,Q08926
Q3E6R5,P54783
P54783,Q6Q5K6
P54785,P53551
P54785,P54785
P06197,P54837
P10614,P54837
P54837,P11076
P54837,P17898
P54837,P26570
P54837,P32915
P54837,P38084
P38142,P54837
P54837,P38264
P54837,P38353
P54837,P38694
P38819,P54837
P38992,P54837
P54837,P40350
P54837,P40540
P40582,P54837
P54837,P41806
P54837,P53198
P54837,P53337
P54837,P54837
Q02774,P54837
P54837,Q02896
Q05359,P54837
P54837,Q06144
Q08926,P54837
Q12270,P54837
P54837,Q12450
Q99287,P54837
P20434,P54839
P54858,P54858
P54858,Q12270
P17423,P54861
P33327,P54861
P41811,P54861
P54861,P54783
P54861,P54858
P54861,P54861
P54885,P41811
P54885,P54885
P02309,P61830
P27999,P61830
P32447,P61830
P61830,P53551
P61830,P61830
P61830,Q12373
P69771,P39929
P53843,P69771
P69771,P69771
Q07418,P80667
P80667,Q12462
Q12465,Q00402
Q00578,P11986
Q00578,P16965
Q00578,P37012
Q00578,P38328
Q00578,P41811
Q00578,P54113
P54783,Q00578
P32610,Q00582
Q00582,P38247
Q00582,P39968
Q00582,P53191
Q00582,Q00582
Q00582,Q02205
P36000,Q00776
Q01080,Q01080
P20447,Q01448
Q01574,P80235
Q01896,P36027
Q01896,P38234
Q01896,Q02785
Q01939,P33297
Q01939,P33298
Q01939,P33299
Q01939,P40327
Q01939,P53549
Q02046,Q02046
Q06411,Q02100
Q02199,P14907
Q02199,P34077
P48837,Q02199
Q02199,Q02199
Q06142,Q02199
Q02205,P32610
P38247,Q02205
Q02205,P39968
Q02205,P53191
Q02205,P53290
Q02205,Q00582
Q02205,Q02205
Q02206,P40994
P19807,Q02256
P32465,Q02256
P35735,Q02256
P38344,Q02256
P40582,Q02256
Q02256,P50276
Q02256,P53145
P53388,Q02256
Q02785,Q02256
Q02256,Q12462
Q02256,Q12522
Q02555,P07278
Q02574,P35179
Q02574,Q07844
Q02629,P40064
Q02629,P40368
Q02630,Q02629
Q02629,Q06142
Q02774,P06775
P10614,Q02774
P26570,Q02774
P35206,Q02774
Q02774,P38084
P38264,Q02774
Q02774,P40540
Q02774,P53388
P54837,Q02774
Q02774,Q02774
Q02774,Q03697
Q02774,Q06144
Q02775,Q3E7A4
P47976,Q02784
Q02793,P16965
P20435,Q02793
P38009,Q02793
Q02793,Q02793
Q08732,Q02793
P10614,Q02795
P11076,Q02795
P17260,Q02795
Q02795,P17898
Q02795,P19807
P25334,Q02795
Q02795,P25361
Q02795,P26570
P32915,Q02795
Q02795,P35196
P36024,Q02795
P36076,Q02795
Q02795,P36091
Q02795,P38264
Q02795,P38353
Q02795,P38694
P38993,Q02795
P40350,Q02795
P40471,Q02795
Q02795,P40540
P40582,Q02795
P47155,Q02795
Q02795,P53388
Q02795,P54837
Q02795,Q02774
Q02795,Q02896
Q04969,Q02795
Q02795,Q05359
Q06144,Q02795
Q08926,Q02795
Q12127,Q02795
Q02796,Q8TGU5
Q02884,P42935
Q02884,Q02884
Q02884,Q04868
Q02884,Q06706
P38142,Q02896
P40350,Q02896
Q02896,P53751
Q02896,P54837
Q12361,Q02896
P38874,Q02908
Q02908,Q3E840
Q02959,Q02959
P28795,Q02969
Q02969,Q02969
Q07418,Q02969
Q02969,Q12462
Q03029,Q03944
Q03148,Q03148
Q03390,P39929
Q03390,Q03390
Q03390,Q06263
Q03435,Q03435
Q03516,P36027
Q03640,Q03516
P10614,Q03529
Q03529,P25361
Q03529,P36076
P38264,Q03529
Q03529,P38353
P38694,Q03529
Q03529,P40350
Q03529,P40540
P53337,Q03529
P54837,Q03529
Q05359,Q03529
Q03529,Q06144
Q03529,Q12043
P11076,Q03554
Q03554,P25361
P38166,Q03554
P38264,Q03554
P38353,Q03554
P38694,Q03554
Q03554,P39010
Q03554,P53337
Q03554,P54837
Q05359,Q03554
Q12270,Q03554
Q03554,Q99287
P40016,Q03557
Q03557,Q12247
Q03640,P19807
Q03640,P23585
Q03640,P25619
Q03640,P32465
P32568,Q03640
Q03640,P33413
Q03640,P35735
Q03640,P36027
Q03640,P38234
P38695,Q03640
P40260,Q03640
P50276,Q03640
P53049,Q03640
Q03640,P53283
P53388,Q03640
Q03640,P53390
Q03640,P53832
Q02785,Q03640
Q03640,Q03516
Q03640,Q03640
Q06170,Q03640
Q06451,Q03640
Q06689,Q03640
Q03640,Q07824
Q08967,Q03640
Q12256,Q03640
Q3E756,Q03640
P26570,Q03653
Q03653,P36027
P46951,Q03653
Q03687,P09620
Q03687,P11076
P19807,Q03687
Q03687,P25361
P30605,Q03687
Q03687,P32074
Q03687,P32319
Q03687,P39010
P40094,Q03687
Q03687,P40335
P41811,Q03687
P43621,Q03687
Q03687,P50276
P53728,Q03687
P54858,Q03687
Q03687,Q03687
Q03687,Q03860
Q03687,Q12057
Q03687,Q12114
Q03687,Q12270
Q92331,Q03687
Q03697,P09620
Q03768,P33892
P25847,Q03782
P33895,Q03782
Q03835,P38235
